data_adi,data_detay,original_week_period,original_date_text,date
Afyon,82.64,15 - 21 Mayıs 2021,21 Mayıs 2021,2021-05-21
Ağrı,122.52,15 - 21 Mayıs 2021,21 Mayıs 2021,2021-05-21
Aksaray,58.86,15 - 21 Mayıs 2021,21 Mayıs 2021,2021-05-21
Amasya,79.29,15 - 21 Mayıs 2021,21 Mayıs 2021,2021-05-21
Ankara,123.02,15 - 21 Mayıs 2021,21 Mayıs 2021,2021-05-21
Antalya,47.01,15 - 21 Mayıs 2021,21 Mayıs 2021,2021-05-21
Ardahan,110.23,15 - 21 Mayıs 2021,21 Mayıs 2021,2021-05-21
Artvin,74.93,15 - 21 Mayıs 2021,21 Mayıs 2021,2021-05-21
Aydın,31.1,15 - 21 Mayıs 2021,21 Mayıs 2021,2021-05-21
Balıkesir,86.35,15 - 21 Mayıs 2021,21 Mayıs 2021,2021-05-21
Bartın,83.43,15 - 21 Mayıs 2021,21 Mayıs 2021,2021-05-21
Batman,64.16,15 - 21 Mayıs 2021,21 Mayıs 2021,2021-05-21
Bayburt,65.93,15 - 21 Mayıs 2021,21 Mayıs 2021,2021-05-21
Bilecik,123.45,15 - 21 Mayıs 2021,21 Mayıs 2021,2021-05-21
Bingöl,65.66,15 - 21 Mayıs 2021,21 Mayıs 2021,2021-05-21
Bitlis,96.58,15 - 21 Mayıs 2021,21 Mayıs 2021,2021-05-21
Bolu,139.14,15 - 21 Mayıs 2021,21 Mayıs 2021,2021-05-21
Burdur,96.97,15 - 21 Mayıs 2021,21 Mayıs 2021,2021-05-21
Bursa,80.28,15 - 21 Mayıs 2021,21 Mayıs 2021,2021-05-21
Çanakkale,72.75,15 - 21 Mayıs 2021,21 Mayıs 2021,2021-05-21
Çankırı,97.18,15 - 21 Mayıs 2021,21 Mayıs 2021,2021-05-21
Çorum,99.03,15 - 21 Mayıs 2021,21 Mayıs 2021,2021-05-21
Denizli,73.2,15 - 21 Mayıs 2021,21 Mayıs 2021,2021-05-21
Diyarbakır,62.74,15 - 21 Mayıs 2021,21 Mayıs 2021,2021-05-21
Düzce,118.02,15 - 21 Mayıs 2021,21 Mayıs 2021,2021-05-21
Edirne,62.54,15 - 21 Mayıs 2021,21 Mayıs 2021,2021-05-21
Elazığ,61.91,15 - 21 Mayıs 2021,21 Mayıs 2021,2021-05-21
Erzincan,92.56,15 - 21 Mayıs 2021,21 Mayıs 2021,2021-05-21
Erzurum,151.4,15 - 21 Mayıs 2021,21 Mayıs 2021,2021-05-21
Eskişehir,120.72,15 - 21 Mayıs 2021,21 Mayıs 2021,2021-05-21
Gaziantep,67.06,15 - 21 Mayıs 2021,21 Mayıs 2021,2021-05-21
Giresun,84.69,15 - 21 Mayıs 2021,21 Mayıs 2021,2021-05-21
Gümüşhane,163.72,15 - 21 Mayıs 2021,21 Mayıs 2021,2021-05-21
Hakkari,56.68,15 - 21 Mayıs 2021,21 Mayıs 2021,2021-05-21
Hatay,16.69,15 - 21 Mayıs 2021,21 Mayıs 2021,2021-05-21
Iğdır,50.67,15 - 21 Mayıs 2021,21 Mayıs 2021,2021-05-21
Isparta,105.38,15 - 21 Mayıs 2021,21 Mayıs 2021,2021-05-21
İstanbul,123.88,15 - 21 Mayıs 2021,21 Mayıs 2021,2021-05-21
İzmir,72.75,15 - 21 Mayıs 2021,21 Mayıs 2021,2021-05-21
Kahramanmaraş,35.95,15 - 21 Mayıs 2021,21 Mayıs 2021,2021-05-21
Karabük,73.48,15 - 21 Mayıs 2021,21 Mayıs 2021,2021-05-21
Karaman,72.57,15 - 21 Mayıs 2021,21 Mayıs 2021,2021-05-21
Kars,134.77,15 - 21 Mayıs 2021,21 Mayıs 2021,2021-05-21
Kastamonu,99.1,15 - 21 Mayıs 2021,21 Mayıs 2021,2021-05-21
Kayseri,118.82,15 - 21 Mayıs 2021,21 Mayıs 2021,2021-05-21
Kırıkkale,94.37,15 - 21 Mayıs 2021,21 Mayıs 2021,2021-05-21
Kırklareli,108.64,15 - 21 Mayıs 2021,21 Mayıs 2021,2021-05-21
Kırşehir,84.76,15 - 21 Mayıs 2021,21 Mayıs 2021,2021-05-21
Kilis,50.42,15 - 21 Mayıs 2021,21 Mayıs 2021,2021-05-21
Kocaeli,130.73,15 - 21 Mayıs 2021,21 Mayıs 2021,2021-05-21
Konya,94.31,15 - 21 Mayıs 2021,21 Mayıs 2021,2021-05-21
Kütahya,134.91,15 - 21 Mayıs 2021,21 Mayıs 2021,2021-05-21
Malatya,90.06,15 - 21 Mayıs 2021,21 Mayıs 2021,2021-05-21
Manisa,60.59,15 - 21 Mayıs 2021,21 Mayıs 2021,2021-05-21
Mardin,49.84,15 - 21 Mayıs 2021,21 Mayıs 2021,2021-05-21
Mersin,33.55,15 - 21 Mayıs 2021,21 Mayıs 2021,2021-05-21
Muğla,56.26,15 - 21 Mayıs 2021,21 Mayıs 2021,2021-05-21
Muş,41.84,15 - 21 Mayıs 2021,21 Mayıs 2021,2021-05-21
Nevşehir,74.76,15 - 21 Mayıs 2021,21 Mayıs 2021,2021-05-21
Niğde,106.61,15 - 21 Mayıs 2021,21 Mayıs 2021,2021-05-21
Ordu,117.28,15 - 21 Mayıs 2021,21 Mayıs 2021,2021-05-21
Osmaniye,15.68,15 - 21 Mayıs 2021,21 Mayıs 2021,2021-05-21
Rize,119.64,15 - 21 Mayıs 2021,21 Mayıs 2021,2021-05-21
Sakarya,94.28,15 - 21 Mayıs 2021,21 Mayıs 2021,2021-05-21
Samsun,97.19,15 - 21 Mayıs 2021,21 Mayıs 2021,2021-05-21
Siirt,34.13,15 - 21 Mayıs 2021,21 Mayıs 2021,2021-05-21
Sinop,51.28,15 - 21 Mayıs 2021,21 Mayıs 2021,2021-05-21
Sivas,102.38,15 - 21 Mayıs 2021,21 Mayıs 2021,2021-05-21
Şanlıurfa,50.68,15 - 21 Mayıs 2021,21 Mayıs 2021,2021-05-21
Şırnak,35.15,15 - 21 Mayıs 2021,21 Mayıs 2021,2021-05-21
Tekirdağ,90.84,15 - 21 Mayıs 2021,21 Mayıs 2021,2021-05-21
Tokat,112.9,15 - 21 Mayıs 2021,21 Mayıs 2021,2021-05-21
Trabzon,93.73,15 - 21 Mayıs 2021,21 Mayıs 2021,2021-05-21
Tunceli,80.29,15 - 21 Mayıs 2021,21 Mayıs 2021,2021-05-21
Uşak,64.69,15 - 21 Mayıs 2021,21 Mayıs 2021,2021-05-21
Van,50.72,15 - 21 Mayıs 2021,21 Mayıs 2021,2021-05-21
Yalova,48.54,15 - 21 Mayıs 2021,21 Mayıs 2021,2021-05-21
Yozgat,88.29,15 - 21 Mayıs 2021,21 Mayıs 2021,2021-05-21
Zonguldak,129.9,15 - 21 Mayıs 2021,21 Mayıs 2021,2021-05-21
Adana,12.84,22- 28 Mayıs 2021,28 Mayıs 2021,2021-05-28
Adıyaman,25.77,22- 28 Mayıs 2021,28 Mayıs 2021,2021-05-28
Afyon,73.69,22- 28 Mayıs 2021,28 Mayıs 2021,2021-05-28
Ağrı,106.83,22- 28 Mayıs 2021,28 Mayıs 2021,2021-05-28
Aksaray,43.97,22- 28 Mayıs 2021,28 Mayıs 2021,2021-05-28
Amasya,59.02,22- 28 Mayıs 2021,28 Mayıs 2021,2021-05-28
Ankara,115.71,22- 28 Mayıs 2021,28 Mayıs 2021,2021-05-28
Antalya,32.53,22- 28 Mayıs 2021,28 Mayıs 2021,2021-05-28
Ardahan,79.03,22- 28 Mayıs 2021,28 Mayıs 2021,2021-05-28
Artvin,45.43,22- 28 Mayıs 2021,28 Mayıs 2021,2021-05-28
Aydın,21.09,22- 28 Mayıs 2021,28 Mayıs 2021,2021-05-28
Balıkesir,72.89,22- 28 Mayıs 2021,28 Mayıs 2021,2021-05-28
Bartın,64.83,22- 28 Mayıs 2021,28 Mayıs 2021,2021-05-28
Batman,61.91,22- 28 Mayıs 2021,28 Mayıs 2021,2021-05-28
Bayburt,78.13,22- 28 Mayıs 2021,28 Mayıs 2021,2021-05-28
Bilecik,146.76,22- 28 Mayıs 2021,28 Mayıs 2021,2021-05-28
Bingöl,59.62,22- 28 Mayıs 2021,28 Mayıs 2021,2021-05-28
Bitlis,97.15,22- 28 Mayıs 2021,28 Mayıs 2021,2021-05-28
Bolu,112.13,22- 28 Mayıs 2021,28 Mayıs 2021,2021-05-28
Burdur,62.9,22- 28 Mayıs 2021,28 Mayıs 2021,2021-05-28
Bursa,64.86,22- 28 Mayıs 2021,28 Mayıs 2021,2021-05-28
Çanakkale,60.38,22- 28 Mayıs 2021,28 Mayıs 2021,2021-05-28
Çankırı,79.51,22- 28 Mayıs 2021,28 Mayıs 2021,2021-05-28
Çorum,73.38,22- 28 Mayıs 2021,28 Mayıs 2021,2021-05-28
Denizli,70.32,22- 28 Mayıs 2021,28 Mayıs 2021,2021-05-28
Diyarbakır,64.59,22- 28 Mayıs 2021,28 Mayıs 2021,2021-05-28
Düzce,90.48,22- 28 Mayıs 2021,28 Mayıs 2021,2021-05-28
Edirne,29.43,22- 28 Mayıs 2021,28 Mayıs 2021,2021-05-28
Elazığ,45.75,22- 28 Mayıs 2021,28 Mayıs 2021,2021-05-28
Erzincan,83.18,22- 28 Mayıs 2021,28 Mayıs 2021,2021-05-28
Erzurum,106.82,22- 28 Mayıs 2021,28 Mayıs 2021,2021-05-28
Eskişehir,110.48,22- 28 Mayıs 2021,28 Mayıs 2021,2021-05-28
Gaziantep,51.31,22- 28 Mayıs 2021,28 Mayıs 2021,2021-05-28
Giresun,64.41,22- 28 Mayıs 2021,28 Mayıs 2021,2021-05-28
Gümüşhane,162.31,22- 28 Mayıs 2021,28 Mayıs 2021,2021-05-28
Hakkari,74.51,22- 28 Mayıs 2021,28 Mayıs 2021,2021-05-28
Hatay,12.47,22- 28 Mayıs 2021,28 Mayıs 2021,2021-05-28
Iğdır,40.24,22- 28 Mayıs 2021,28 Mayıs 2021,2021-05-28
Isparta,84.71,22- 28 Mayıs 2021,28 Mayıs 2021,2021-05-28
İstanbul,89.97,22- 28 Mayıs 2021,28 Mayıs 2021,2021-05-28
İzmir,47.74,22- 28 Mayıs 2021,28 Mayıs 2021,2021-05-28
Kahramanmaraş,30.99,22- 28 Mayıs 2021,28 Mayıs 2021,2021-05-28
Karabük,59.11,22- 28 Mayıs 2021,28 Mayıs 2021,2021-05-28
Karaman,75.71,22- 28 Mayıs 2021,28 Mayıs 2021,2021-05-28
Kars,118.63,22- 28 Mayıs 2021,28 Mayıs 2021,2021-05-28
Kastamonu,57.12,22- 28 Mayıs 2021,28 Mayıs 2021,2021-05-28
Kayseri,101.87,22- 28 Mayıs 2021,28 Mayıs 2021,2021-05-28
Kırıkkale,67.81,22- 28 Mayıs 2021,28 Mayıs 2021,2021-05-28
Kırklareli,78.51,22- 28 Mayıs 2021,28 Mayıs 2021,2021-05-28
Kırşehir,67.89,22- 28 Mayıs 2021,28 Mayıs 2021,2021-05-28
Kilis,39.22,22- 28 Mayıs 2021,28 Mayıs 2021,2021-05-28
Kocaeli,93.43,22- 28 Mayıs 2021,28 Mayıs 2021,2021-05-28
Konya,78.35,22- 28 Mayıs 2021,28 Mayıs 2021,2021-05-28
Kütahya,112.71,22- 28 Mayıs 2021,28 Mayıs 2021,2021-05-28
Malatya,73.43,22- 28 Mayıs 2021,28 Mayıs 2021,2021-05-28
Manisa,55.08,22- 28 Mayıs 2021,28 Mayıs 2021,2021-05-28
Mardin,46.92,22- 28 Mayıs 2021,28 Mayıs 2021,2021-05-28
Mersin,21.73,22- 28 Mayıs 2021,28 Mayıs 2021,2021-05-28
Muğla,41.47,22- 28 Mayıs 2021,28 Mayıs 2021,2021-05-28
Muş,48.65,22- 28 Mayıs 2021,28 Mayıs 2021,2021-05-28
Nevşehir,56.4,22- 28 Mayıs 2021,28 Mayıs 2021,2021-05-28
Niğde,74.57,22- 28 Mayıs 2021,28 Mayıs 2021,2021-05-28
Ordu,88.78,22- 28 Mayıs 2021,28 Mayıs 2021,2021-05-28
Osmaniye,13.31,22- 28 Mayıs 2021,28 Mayıs 2021,2021-05-28
Rize,83.63,22- 28 Mayıs 2021,28 Mayıs 2021,2021-05-28
Sakarya,69.15,22- 28 Mayıs 2021,28 Mayıs 2021,2021-05-28
Samsun,55.6,22- 28 Mayıs 2021,28 Mayıs 2021,2021-05-28
Siirt,56.79,22- 28 Mayıs 2021,28 Mayıs 2021,2021-05-28
Sinop,39.27,22- 28 Mayıs 2021,28 Mayıs 2021,2021-05-28
Sivas,79.57,22- 28 Mayıs 2021,28 Mayıs 2021,2021-05-28
Şanlıurfa,45.38,22- 28 Mayıs 2021,28 Mayıs 2021,2021-05-28
Şırnak,24.55,22- 28 Mayıs 2021,28 Mayıs 2021,2021-05-28
Tekirdağ,58.92,22- 28 Mayıs 2021,28 Mayıs 2021,2021-05-28
Tokat,101.19,22- 28 Mayıs 2021,28 Mayıs 2021,2021-05-28
Trabzon,72.92,22- 28 Mayıs 2021,28 Mayıs 2021,2021-05-28
Tunceli,35.95,22- 28 Mayıs 2021,28 Mayıs 2021,2021-05-28
Uşak,65.24,22- 28 Mayıs 2021,28 Mayıs 2021,2021-05-28
Van,50.81,22- 28 Mayıs 2021,28 Mayıs 2021,2021-05-28
Yalova,42.38,22- 28 Mayıs 2021,28 Mayıs 2021,2021-05-28
Yozgat,77.55,22- 28 Mayıs 2021,28 Mayıs 2021,2021-05-28
Zonguldak,96.92,22- 28 Mayıs 2021,28 Mayıs 2021,2021-05-28
Adana,10.92,29 Mayıs - 04 Haziran 2021,04 Haziran 2021,2021-06-04
Adıyaman,23.59,29 Mayıs - 04 Haziran 2021,04 Haziran 2021,2021-06-04
Afyon,73.55,29 Mayıs - 04 Haziran 2021,04 Haziran 2021,2021-06-04
Ağrı,85.3,29 Mayıs - 04 Haziran 2021,04 Haziran 2021,2021-06-04
Aksaray,47.27,29 Mayıs - 04 Haziran 2021,04 Haziran 2021,2021-06-04
Amasya,41.45,29 Mayıs - 04 Haziran 2021,04 Haziran 2021,2021-06-04
Ankara,99.5,29 Mayıs - 04 Haziran 2021,04 Haziran 2021,2021-06-04
Antalya,31.9,29 Mayıs - 04 Haziran 2021,04 Haziran 2021,2021-06-04
Ardahan,57.0,29 Mayıs - 04 Haziran 2021,04 Haziran 2021,2021-06-04
Artvin,35.93,29 Mayıs - 04 Haziran 2021,04 Haziran 2021,2021-06-04
Aydın,18.87,29 Mayıs - 04 Haziran 2021,04 Haziran 2021,2021-06-04
Balıkesir,59.25,29 Mayıs - 04 Haziran 2021,04 Haziran 2021,2021-06-04
Bartın,81.11,29 Mayıs - 04 Haziran 2021,04 Haziran 2021,2021-06-04
Batman,52.04,29 Mayıs - 04 Haziran 2021,04 Haziran 2021,2021-06-04
Bayburt,40.89,29 Mayıs - 04 Haziran 2021,04 Haziran 2021,2021-06-04
Bilecik,96.99,29 Mayıs - 04 Haziran 2021,04 Haziran 2021,2021-06-04
Bingöl,34.22,29 Mayıs - 04 Haziran 2021,04 Haziran 2021,2021-06-04
Bitlis,76.05,29 Mayıs - 04 Haziran 2021,04 Haziran 2021,2021-06-04
Bolu,110.55,29 Mayıs - 04 Haziran 2021,04 Haziran 2021,2021-06-04
Burdur,53.2,29 Mayıs - 04 Haziran 2021,04 Haziran 2021,2021-06-04
Bursa,50.85,29 Mayıs - 04 Haziran 2021,04 Haziran 2021,2021-06-04
Çanakkale,43.67,29 Mayıs - 04 Haziran 2021,04 Haziran 2021,2021-06-04
Çankırı,69.1,29 Mayıs - 04 Haziran 2021,04 Haziran 2021,2021-06-04
Çorum,69.88,29 Mayıs - 04 Haziran 2021,04 Haziran 2021,2021-06-04
Denizli,53.83,29 Mayıs - 04 Haziran 2021,04 Haziran 2021,2021-06-04
Diyarbakır,53.33,29 Mayıs - 04 Haziran 2021,04 Haziran 2021,2021-06-04
Düzce,63.36,29 Mayıs - 04 Haziran 2021,04 Haziran 2021,2021-06-04
Edirne,13.69,29 Mayıs - 04 Haziran 2021,04 Haziran 2021,2021-06-04
Elazığ,54.38,29 Mayıs - 04 Haziran 2021,04 Haziran 2021,2021-06-04
Erzincan,74.9,29 Mayıs - 04 Haziran 2021,04 Haziran 2021,2021-06-04
Erzurum,93.16,29 Mayıs - 04 Haziran 2021,04 Haziran 2021,2021-06-04
Eskişehir,88.5,29 Mayıs - 04 Haziran 2021,04 Haziran 2021,2021-06-04
Gaziantep,51.26,29 Mayıs - 04 Haziran 2021,04 Haziran 2021,2021-06-04
Giresun,54.74,29 Mayıs - 04 Haziran 2021,04 Haziran 2021,2021-06-04
Gümüşhane,103.86,29 Mayıs - 04 Haziran 2021,04 Haziran 2021,2021-06-04
Hakkari,47.4,29 Mayıs - 04 Haziran 2021,04 Haziran 2021,2021-06-04
Hatay,7.95,29 Mayıs - 04 Haziran 2021,04 Haziran 2021,2021-06-04
Iğdır,22.18,29 Mayıs - 04 Haziran 2021,04 Haziran 2021,2021-06-04
Isparta,96.98,29 Mayıs - 04 Haziran 2021,04 Haziran 2021,2021-06-04
İstanbul,63.93,29 Mayıs - 04 Haziran 2021,04 Haziran 2021,2021-06-04
İzmir,41.23,29 Mayıs - 04 Haziran 2021,04 Haziran 2021,2021-06-04
Kahramanmaraş,24.94,29 Mayıs - 04 Haziran 2021,04 Haziran 2021,2021-06-04
Karabük,50.0,29 Mayıs - 04 Haziran 2021,04 Haziran 2021,2021-06-04
Karaman,74.93,29 Mayıs - 04 Haziran 2021,04 Haziran 2021,2021-06-04
Kars,105.45,29 Mayıs - 04 Haziran 2021,04 Haziran 2021,2021-06-04
Kastamonu,91.15,29 Mayıs - 04 Haziran 2021,04 Haziran 2021,2021-06-04
Kayseri,92.26,29 Mayıs - 04 Haziran 2021,04 Haziran 2021,2021-06-04
Kırıkkale,72.47,29 Mayıs - 04 Haziran 2021,04 Haziran 2021,2021-06-04
Kırklareli,50.51,29 Mayıs - 04 Haziran 2021,04 Haziran 2021,2021-06-04
Kırşehir,69.33,29 Mayıs - 04 Haziran 2021,04 Haziran 2021,2021-06-04
Kilis,44.78,29 Mayıs - 04 Haziran 2021,04 Haziran 2021,2021-06-04
Kocaeli,63.42,29 Mayıs - 04 Haziran 2021,04 Haziran 2021,2021-06-04
Konya,63.15,29 Mayıs - 04 Haziran 2021,04 Haziran 2021,2021-06-04
Kütahya,101.55,29 Mayıs - 04 Haziran 2021,04 Haziran 2021,2021-06-04
Malatya,77.68,29 Mayıs - 04 Haziran 2021,04 Haziran 2021,2021-06-04
Manisa,45.62,29 Mayıs - 04 Haziran 2021,04 Haziran 2021,2021-06-04
Mardin,38.59,29 Mayıs - 04 Haziran 2021,04 Haziran 2021,2021-06-04
Mersin,16.35,29 Mayıs - 04 Haziran 2021,04 Haziran 2021,2021-06-04
Muğla,39.76,29 Mayıs - 04 Haziran 2021,04 Haziran 2021,2021-06-04
Muş,66.66,29 Mayıs - 04 Haziran 2021,04 Haziran 2021,2021-06-04
Nevşehir,44.93,29 Mayıs - 04 Haziran 2021,04 Haziran 2021,2021-06-04
Niğde,67.56,29 Mayıs - 04 Haziran 2021,04 Haziran 2021,2021-06-04
Ordu,68.39,29 Mayıs - 04 Haziran 2021,04 Haziran 2021,2021-06-04
Osmaniye,9.44,29 Mayıs - 04 Haziran 2021,04 Haziran 2021,2021-06-04
Rize,85.18,29 Mayıs - 04 Haziran 2021,04 Haziran 2021,2021-06-04
Sakarya,59.09,29 Mayıs - 04 Haziran 2021,04 Haziran 2021,2021-06-04
Samsun,49.4,29 Mayıs - 04 Haziran 2021,04 Haziran 2021,2021-06-04
Siirt,50.28,29 Mayıs - 04 Haziran 2021,04 Haziran 2021,2021-06-04
Sinop,38.34,29 Mayıs - 04 Haziran 2021,04 Haziran 2021,2021-06-04
Sivas,84.76,29 Mayıs - 04 Haziran 2021,04 Haziran 2021,2021-06-04
Şanlıurfa,35.75,29 Mayıs - 04 Haziran 2021,04 Haziran 2021,2021-06-04
Şırnak,24.16,29 Mayıs - 04 Haziran 2021,04 Haziran 2021,2021-06-04
Tekirdağ,49.57,29 Mayıs - 04 Haziran 2021,04 Haziran 2021,2021-06-04
Tokat,91.34,29 Mayıs - 04 Haziran 2021,04 Haziran 2021,2021-06-04
Trabzon,51.38,29 Mayıs - 04 Haziran 2021,04 Haziran 2021,2021-06-04
Tunceli,31.63,29 Mayıs - 04 Haziran 2021,04 Haziran 2021,2021-06-04
Uşak,54.95,29 Mayıs - 04 Haziran 2021,04 Haziran 2021,2021-06-04
Van,52.81,29 Mayıs - 04 Haziran 2021,04 Haziran 2021,2021-06-04
Yalova,37.5,29 Mayıs - 04 Haziran 2021,04 Haziran 2021,2021-06-04
Yozgat,80.65,29 Mayıs - 04 Haziran 2021,04 Haziran 2021,2021-06-04
Zonguldak,83.61,29 Mayıs - 04 Haziran 2021,04 Haziran 2021,2021-06-04
Adana,7.7,05- 11 Haziran 2021,11 Haziran 2021,2021-06-11
Adıyaman,18.34,05- 11 Haziran 2021,11 Haziran 2021,2021-06-11
Afyon,55.37,05- 11 Haziran 2021,11 Haziran 2021,2021-06-11
Ağrı,80.12,05- 11 Haziran 2021,11 Haziran 2021,2021-06-11
Aksaray,34.99,05- 11 Haziran 2021,11 Haziran 2021,2021-06-11
Amasya,30.7,05- 11 Haziran 2021,11 Haziran 2021,2021-06-11
Ankara,94.87,05- 11 Haziran 2021,11 Haziran 2021,2021-06-11
Antalya,28.49,05- 11 Haziran 2021,11 Haziran 2021,2021-06-11
Ardahan,45.76,05- 11 Haziran 2021,11 Haziran 2021,2021-06-11
Artvin,44.84,05- 11 Haziran 2021,11 Haziran 2021,2021-06-11
Aydın,16.53,05- 11 Haziran 2021,11 Haziran 2021,2021-06-11
Balıkesir,51.92,05- 11 Haziran 2021,11 Haziran 2021,2021-06-11
Bartın,64.33,05- 11 Haziran 2021,11 Haziran 2021,2021-06-11
Batman,41.59,05- 11 Haziran 2021,11 Haziran 2021,2021-06-11
Bayburt,58.6,05- 11 Haziran 2021,11 Haziran 2021,2021-06-11
Bilecik,66.3,05- 11 Haziran 2021,11 Haziran 2021,2021-06-11
Bingöl,30.52,05- 11 Haziran 2021,11 Haziran 2021,2021-06-11
Bitlis,76.64,05- 11 Haziran 2021,11 Haziran 2021,2021-06-11
Bolu,107.05,05- 11 Haziran 2021,11 Haziran 2021,2021-06-11
Burdur,37.07,05- 11 Haziran 2021,11 Haziran 2021,2021-06-11
Bursa,49.29,05- 11 Haziran 2021,11 Haziran 2021,2021-06-11
Çanakkale,39.7,05- 11 Haziran 2021,11 Haziran 2021,2021-06-11
Çankırı,66.0,05- 11 Haziran 2021,11 Haziran 2021,2021-06-11
Çorum,80.36,05- 11 Haziran 2021,11 Haziran 2021,2021-06-11
Denizli,49.48,05- 11 Haziran 2021,11 Haziran 2021,2021-06-11
Diyarbakır,52.88,05- 11 Haziran 2021,11 Haziran 2021,2021-06-11
Düzce,74.3,05- 11 Haziran 2021,11 Haziran 2021,2021-06-11
Edirne,16.43,05- 11 Haziran 2021,11 Haziran 2021,2021-06-11
Elazığ,52.55,05- 11 Haziran 2021,11 Haziran 2021,2021-06-11
Erzincan,88.3,05- 11 Haziran 2021,11 Haziran 2021,2021-06-11
Erzurum,95.08,05- 11 Haziran 2021,11 Haziran 2021,2021-06-11
Eskişehir,99.79,05- 11 Haziran 2021,11 Haziran 2021,2021-06-11
Gaziantep,37.84,05- 11 Haziran 2021,11 Haziran 2021,2021-06-11
Giresun,52.15,05- 11 Haziran 2021,11 Haziran 2021,2021-06-11
Gümüşhane,98.8,05- 11 Haziran 2021,11 Haziran 2021,2021-06-11
Hakkari,39.57,05- 11 Haziran 2021,11 Haziran 2021,2021-06-11
Hatay,5.97,05- 11 Haziran 2021,11 Haziran 2021,2021-06-11
Iğdır,16.89,05- 11 Haziran 2021,11 Haziran 2021,2021-06-11
Isparta,76.54,05- 11 Haziran 2021,11 Haziran 2021,2021-06-11
İstanbul,55.2,05- 11 Haziran 2021,11 Haziran 2021,2021-06-11
İzmir,32.04,05- 11 Haziran 2021,11 Haziran 2021,2021-06-11
Kahramanmaraş,19.35,05- 11 Haziran 2021,11 Haziran 2021,2021-06-11
Karabük,41.05,05- 11 Haziran 2021,11 Haziran 2021,2021-06-11
Karaman,49.43,05- 11 Haziran 2021,11 Haziran 2021,2021-06-11
Kars,129.51,05- 11 Haziran 2021,11 Haziran 2021,2021-06-11
Kastamonu,70.41,05- 11 Haziran 2021,11 Haziran 2021,2021-06-11
Kayseri,86.46,05- 11 Haziran 2021,11 Haziran 2021,2021-06-11
Kırıkkale,54.9,05- 11 Haziran 2021,11 Haziran 2021,2021-06-11
Kırklareli,58.05,05- 11 Haziran 2021,11 Haziran 2021,2021-06-11
Kırşehir,56.78,05- 11 Haziran 2021,11 Haziran 2021,2021-06-11
Kilis,28.71,05- 11 Haziran 2021,11 Haziran 2021,2021-06-11
Kocaeli,62.49,05- 11 Haziran 2021,11 Haziran 2021,2021-06-11
Konya,49.29,05- 11 Haziran 2021,11 Haziran 2021,2021-06-11
Kütahya,88.26,05- 11 Haziran 2021,11 Haziran 2021,2021-06-11
Malatya,55.82,05- 11 Haziran 2021,11 Haziran 2021,2021-06-11
Manisa,34.95,05- 11 Haziran 2021,11 Haziran 2021,2021-06-11
Mardin,37.79,05- 11 Haziran 2021,11 Haziran 2021,2021-06-11
Mersin,16.48,05- 11 Haziran 2021,11 Haziran 2021,2021-06-11
Muğla,33.37,05- 11 Haziran 2021,11 Haziran 2021,2021-06-11
Muş,52.54,05- 11 Haziran 2021,11 Haziran 2021,2021-06-11
Nevşehir,39.68,05- 11 Haziran 2021,11 Haziran 2021,2021-06-11
Niğde,61.31,05- 11 Haziran 2021,11 Haziran 2021,2021-06-11
Ordu,59.76,05- 11 Haziran 2021,11 Haziran 2021,2021-06-11
Osmaniye,7.66,05- 11 Haziran 2021,11 Haziran 2021,2021-06-11
Rize,80.15,05- 11 Haziran 2021,11 Haziran 2021,2021-06-11
Sakarya,62.15,05- 11 Haziran 2021,11 Haziran 2021,2021-06-11
Samsun,46.6,05- 11 Haziran 2021,11 Haziran 2021,2021-06-11
Siirt,44.4,05- 11 Haziran 2021,11 Haziran 2021,2021-06-11
Sinop,32.8,05- 11 Haziran 2021,11 Haziran 2021,2021-06-11
Sivas,88.85,05- 11 Haziran 2021,11 Haziran 2021,2021-06-11
Şanlıurfa,33.14,05- 11 Haziran 2021,11 Haziran 2021,2021-06-11
Şırnak,21.57,05- 11 Haziran 2021,11 Haziran 2021,2021-06-11
Tekirdağ,49.86,05- 11 Haziran 2021,11 Haziran 2021,2021-06-11
Tokat,97.51,05- 11 Haziran 2021,11 Haziran 2021,2021-06-11
Trabzon,65.65,05- 11 Haziran 2021,11 Haziran 2021,2021-06-11
Tunceli,22.77,05- 11 Haziran 2021,11 Haziran 2021,2021-06-11
Uşak,42.23,05- 11 Haziran 2021,11 Haziran 2021,2021-06-11
Van,37.85,05- 11 Haziran 2021,11 Haziran 2021,2021-06-11
Yalova,33.69,05- 11 Haziran 2021,11 Haziran 2021,2021-06-11
Yozgat,66.33,05- 11 Haziran 2021,11 Haziran 2021,2021-06-11
Zonguldak,74.76,05- 11 Haziran 2021,11 Haziran 2021,2021-06-11
Adana,9.25,12 - 18 Haziran 2021,18 Haziran 2021,2021-06-18
Adıyaman,11.07,12 - 18 Haziran 2021,18 Haziran 2021,2021-06-18
Afyon,53.6,12 - 18 Haziran 2021,18 Haziran 2021,2021-06-18
Ağrı,103.47,12 - 18 Haziran 2021,18 Haziran 2021,2021-06-18
Aksaray,36.64,12 - 18 Haziran 2021,18 Haziran 2021,2021-06-18
Amasya,28.61,12 - 18 Haziran 2021,18 Haziran 2021,2021-06-18
Ankara,93.11,12 - 18 Haziran 2021,18 Haziran 2021,2021-06-18
